place ,active,price,time,rating,link,activity
Thornes Marketplace,No,$$,1,4,https://www.yelp.com/biz/thornes-marketplace-northampton?osq=mall,shopping
Cedar Chest,No,$$,1,3,https://www.yelp.com/biz/cedar-chest-northampton?osq=mall,shopping
Marathon Sports,No,$$,1,4.5,https://www.yelp.com/biz/marathon-sports-northampton-2?osq=mall,shopping
Walmart,No,$,1,2.5,https://www.yelp.com/biz/walmart-northampton-2?osq=mall,shopping
Hamphire Mall,No,$$,3,2.5,https://www.yelp.com/biz/hampshire-mall-hadley-2,park
Skinner State Park,both,free,2,4.5,https://www.yelp.com/biz/skinner-state-park-hadley-2?osq=park,park
Norwottuck Rail Trail,both,free,2,4.5,https://www.yelp.com/biz/norwottuck-rail-trail-northampton?osq=park,park
Paradise Pond,both,free,2,5,https://www.yelp.com/biz/paradise-pond-northampton?osq=park,park
Northampton Dog Park,both,free,2,5,https://www.yelp.com/biz/northampton-dog-park-northampton-2?osq=park,park
Smith college Museum of Art,No,free,3,4.5,https://www.yelp.com/biz/smith-college-museum-of-art-northampton?osq=Museums,museum
The Botanic Garden of Smith College,No,free,1,5,https://www.yelp.com/biz/the-botanic-garden-of-smith-college-northampton?osq=Museums,other
R. Michelson Galleries,No,$$$$,2,5,https://www.yelp.com/biz/r-michelson-galleries-northampton?osq=Museums,museum
David Ruggles Center,No,free,1,5,https://www.yelp.com/biz/david-ruggles-center-florence?osq=Museums,museum
Historic Northampton,No,$,1,2.5,https://www.yelp.com/biz/historic-northampton-northampton-2?osq=Museums,museum
soldiers and Sailors,No,$,1,5,https://www.yelp.com/biz/soldiers-and-sailors-monument-northampton?osq=Museums,museum
Cinemark At Hampshire Mall,No,$,3,4.4,https://www.cinemark.com/massachusetts/cinemark-at-hampshire-mall-and-xd?utm_source=gmb&utm_medium=organic&utm_campaign=int&utm_content=GMB_Listing,movie
Academy of Music,No,$$,3,4.5,https://www.aomtheatre.com/,movie
South Hadley's Tower Theaters,No,$$,3,4.6,https://towertheater.com/,movie
Amherst Cinema,No,$$,3,4.7,https://amherstcinema.org/,movie
Spare Time Entertainment(bowling),Yes,$,2,4.4,http://www.sparetimeentertainment.com/,bowling
PiNZ - Hadley(bowling),Yes,$,2,4,https://pinzbowl.com/,bowling
Interskate 91 North(roller skating),Yes,$$,2,4.2,https://interskate91.com/north/,skating
Interskate 91 South(roller skating),Yes,$$,2,4.3,https://interskate91.com/south/,skating
Fitzpatrick Ice Skating Rink,Yes,$$,2,4.1,https://fmcicesports.com/rink/holyoke-fitzpatrick-skating-arena/,skating
Rockwerx Climbing Walls,Yes,$$,2,4.8,https://www.zoaroutdoor.com/,kayaking
Berkshire East Ski Resort,Yes,$$$,3,4.7,https://berkshireeast.com/,Skiing
Amherst College Tennis Courts,Yes,$,3,4.5,http://athletics.amherst.edu/sports/mten/index,Tennis
Holyoke Canoe Club,Yes,$$$,2,5,https://www.yelp.com/biz/holyoke-canoe-club-holyoke?osq=tennis,Canoe
